X,Y,date
725375.5,4419870.7,2015-01-17 03:59:58
725406.6,4417419.7,2015-01-17 04:59:58
725393.3,4415522,2015-01-17 05:59:58
726119.6,4416816.5,2015-01-17 06:59:58
725647,4417439.9,2015-01-17 07:59:58
725643.5,4417354.3,2015-01-17 08:59:58
725766.7,4417458.5,2015-01-17 09:59:58
725686.5,4417914.6,2015-01-17 10:59:58
725597.1,4417892.5,2015-01-17 11:59:58
725304.2,4417409.1,2015-01-17 12:59:58
724867.3,4416570.7,2015-01-17 13:59:58
725119.2,4416942.9,2015-01-17 14:59:58
725174.4,4417320.1,2015-01-17 15:59:58
725619.6,4416305.5,2015-01-17 16:59:58
725558.4,4415937.2,2015-01-17 17:59:58
725550.6,4415939.6,2015-01-17 18:59:58
725742.9,4415569.7,2015-01-17 19:59:58
725996,4415945.3,2015-01-17 20:59:58
725353.4,4417290.5,2015-01-17 21:59:58
724713.9,4416884.3,2015-01-17 22:59:58
724689.6,4416311.9,2015-01-17 23:59:58
724803.2,4416588.6,2015-01-18 00:59:58
725411.9,4417235.4,2015-01-18 01:59:58
725780.8,4416687.2,2015-01-18 02:59:58
725747,4416894.2,2015-01-18 03:59:58
725957.9,4417019.3,2015-01-18 04:59:58
726141.8,4416855.1,2015-01-18 05:59:58
726164.7,4416864.2,2015-01-18 06:59:58
726238.7,4416369.1,2015-01-18 07:59:58
726194.4,4416249.3,2015-01-18 08:59:58
725811.3,4415966.1,2015-01-18 09:59:58
725901.4,4416301.4,2015-01-18 10:59:58
725826.1,4416931.5,2015-01-18 11:59:58
725935.7,4416786.8,2015-01-18 12:59:58
725107.3,4416411.6,2015-01-18 13:59:58
724802.8,4416484.9,2015-01-18 14:59:58
725303.1,4417960.5,2015-01-18 15:59:58
725564.5,4419352.8,2015-01-18 16:59:58
725336.5,4420663.8,2015-01-18 17:59:58
725251.2,4421060.3,2015-01-18 18:59:58
725138.3,4421524,2015-01-18 19:59:58
725589.5,4423333.9,2015-01-18 20:59:58
725140.4,4423582.5,2015-01-18 21:59:58
724793,4423358.9,2015-01-18 22:59:58
725067.8,4424331.4,2015-01-18 23:59:58
725951.6,4422820.6,2015-01-19 00:59:58
725282.7,4422921.1,2015-01-19 01:59:58
724769.5,4423262.5,2015-01-19 02:59:58
724767.5,4423425,2015-01-19 03:59:58
726096.1,4423758,2015-01-19 04:59:58
725985.1,4423400.4,2015-01-19 05:59:58
724927.2,4421884.4,2015-01-19 06:59:58
724893.8,4421870.6,2015-01-19 07:59:58
725234.5,4421046.8,2015-01-19 08:59:58
725284.8,4420734.3,2015-01-19 09:59:58
725709.4,4418688,2015-01-19 10:59:58
725838.6,4418298.5,2015-01-19 11:59:58
726062.2,4418090.1,2015-01-19 12:59:58
725875.9,4417202.4,2015-01-19 13:59:58
726090.9,4416715.7,2015-01-19 14:59:58
725417.8,4416319.1,2015-01-19 15:59:58
725680.2,4416020.6,2015-01-19 16:59:58
725258,4417078.1,2015-01-19 17:59:58
725583.4,4416996,2015-01-19 18:59:58
725695.5,4416559.7,2015-01-19 19:59:58
725011,4416008.3,2015-01-19 20:59:58
725015.4,4416138,2015-01-19 21:59:58
725586.4,4415462.7,2015-01-19 22:59:58
725146.7,4415928,2015-01-19 23:59:58
724899,4415959.6,2015-01-20 00:59:58
724997.5,4415905.8,2015-01-20 01:59:58
725159.6,4416240.4,2015-01-20 02:59:58
724897.7,4415957.7,2015-01-20 03:59:58
725713.7,4417393.9,2015-01-20 04:59:58
725452,4417780.3,2015-01-20 05:59:58
725558.5,4418080.4,2015-01-20 06:59:58
725119.4,4416263.9,2015-01-20 07:59:58
725824.7,4416737.8,2015-01-20 08:59:58
725751.3,4416797.9,2015-01-20 09:59:58
725558.2,4416954.7,2015-01-20 10:59:58
725096,4416579.1,2015-01-20 11:59:58
724939,4416675.4,2015-01-20 12:59:58
724737.8,4417790.9,2015-01-20 13:59:58
724969.6,4417938.8,2015-01-20 14:59:58
725079.7,4417877.4,2015-01-20 15:59:58
724994.5,4416565,2015-01-20 16:59:58
725123.1,4416772.8,2015-01-20 17:59:58
725476.5,4417487.3,2015-01-20 18:59:58
725607.3,4417643.9,2015-01-20 19:59:58
725840.8,4418233.2,2015-01-20 20:59:58
725554.6,4418282.3,2015-01-20 21:59:58
725349.1,4418344.8,2015-01-20 22:59:58
725682.8,4417869.3,2015-01-20 23:59:58
725853.8,4418175.5,2015-01-21 00:59:58
725379.5,4418344.9,2015-01-21 01:59:58
725379.6,4418503.3,2015-01-21 02:59:58
725384.3,4418171.6,2015-01-21 03:59:58
725553.1,4418400.3,2015-01-21 04:59:58
725299.6,4418624.1,2015-01-21 05:59:58
725263.7,4418302.6,2015-01-21 06:59:58
725287.7,4418356.1,2015-01-21 07:59:58
724892.9,4418227.5,2015-01-21 08:59:58
725053.1,4418208.7,2015-01-21 09:59:58
725037.3,4418323.2,2015-01-21 10:59:58
724792.4,4417114.7,2015-01-21 11:59:58
725037.1,4418124.9,2015-01-21 12:59:58
724851.4,4418245.5,2015-01-21 13:59:58
724897,4418190.7,2015-01-21 14:59:58
725071.2,4418202.7,2015-01-21 15:59:58
725156.7,4418130.4,2015-01-21 16:59:58
724712.3,4416419.8,2015-01-21 17:59:58
725778,4415721.3,2015-01-21 18:59:58
725603.5,4415849.5,2015-01-21 19:59:57
725500.4,4415919.9,2015-01-21 20:59:57
725307.3,4415843.1,2015-01-21 21:59:57
725213.7,4416226.6,2015-01-21 22:59:57
725352.4,4416267.2,2015-01-21 23:59:57
725445.2,4416454.6,2015-01-22 00:59:57
725559.4,4416428.9,2015-01-22 01:59:57
725438.2,4416448.1,2015-01-22 02:59:57
725255,4416732.5,2015-01-22 03:59:57
725201.5,4416765.3,2015-01-22 04:59:57
725279.1,4417795.9,2015-01-22 05:59:57
725676.8,4418059.7,2015-01-22 06:59:57
725600.3,4418184.4,2015-01-22 07:59:57
726037.2,4421177.4,2015-01-22 08:59:57
725652.9,4424668.9,2015-01-22 09:59:57
725639.4,4423282.2,2015-01-22 10:59:57
725587.1,4422822.2,2015-01-22 11:59:57
725376.1,4418106.9,2015-01-22 12:59:57
725242.7,4417860,2015-01-22 13:59:57
725277.6,4417642.7,2015-01-22 14:59:57
725450.3,4417573.7,2015-01-22 15:59:57
725630,4417827.2,2015-01-22 16:59:57
725753.7,4417127.7,2015-01-22 17:59:57
725657.8,4417524.5,2015-01-22 18:59:57
725682.7,4417857.4,2015-01-22 19:59:57
